Local time,Open,High,Low,Close,Volume
06.11.2017 00:00:00.000 GMT-0800,185.330,185.330,185.330,185.330,0
06.11.2017 01:00:00.000 GMT-0800,185.330,185.330,185.330,185.330,0
06.11.2017 02:00:00.000 GMT-0800,185.330,185.330,185.330,185.330,0
06.11.2017 03:00:00.000 GMT-0800,185.330,185.330,185.330,185.330,0
06.11.2017 04:00:00.000 GMT-0800,185.330,185.330,185.330,185.330,0
06.11.2017 05:00:00.000 GMT-0800,185.330,185.330,185.330,185.330,0
06.11.2017 06:00:00.000 GMT-0800,185.330,186.130,185.300,186.090,0.146
06.11.2017 07:00:00.000 GMT-0800,186.080,187.510,185.960,187.090,0.2437
06.11.2017 08:00:00.000 GMT-0800,187.100,187.110,186.600,186.690,0.1615
06.11.2017 09:00:00.000 GMT-0800,186.690,186.690,186.320,186.590,0.1611
06.11.2017 10:00:00.000 GMT-0800,186.590,186.620,186.350,186.400,0.165
06.11.2017 11:00:00.000 GMT-0800,186.420,186.900,186.310,186.870,0.2181
06.11.2017 12:00:00.000 GMT-0800,186.870,186.950,186.580,186.670,0.3988
06.11.2017 13:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 14:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 15:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 16:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 17:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 18:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 19:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 20:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 21:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 22:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
06.11.2017 23:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
07.11.2017 00:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
07.11.2017 01:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
07.11.2017 02:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
07.11.2017 03:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
07.11.2017 04:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
07.11.2017 05:00:00.000 GMT-0800,186.670,186.670,186.670,186.670,0
07.11.2017 06:00:00.000 GMT-0800,186.640,188.100,186.570,187.970,0.1962
07.11.2017 07:00:00.000 GMT-0800,187.940,188.170,186.870,187.020,0.3513
07.11.2017 08:00:00.000 GMT-0800,187.050,187.170,186.220,186.250,0.3785
07.11.2017 09:00:00.000 GMT-0800,186.280,186.400,185.710,186.230,0.4494
07.11.2017 10:00:00.000 GMT-0800,186.270,186.640,186.240,186.340,0.3268
07.11.2017 11:00:00.000 GMT-0800,186.340,186.570,186.110,186.150,0.3402
07.11.2017 12:00:00.000 GMT-0800,186.130,186.270,185.570,186.210,0.6916
07.11.2017 13:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 14:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 15:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 16:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 17:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 18:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 19:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 20:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 21:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 22:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
07.11.2017 23:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
08.11.2017 00:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
08.11.2017 01:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
08.11.2017 02:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
08.11.2017 03:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
08.11.2017 04:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
08.11.2017 05:00:00.000 GMT-0800,186.210,186.210,186.210,186.210,0
08.11.2017 06:00:00.000 GMT-0800,186.220,186.500,185.500,185.700,0.3121
08.11.2017 07:00:00.000 GMT-0800,185.700,185.940,185.050,185.080,0.4354
08.11.2017 08:00:00.000 GMT-0800,185.080,185.100,184.530,184.750,0.6862
08.11.2017 09:00:00.000 GMT-0800,184.750,185.130,184.490,184.920,0.4932
08.11.2017 10:00:00.000 GMT-0800,184.920,185.260,184.850,185.080,0.3639
08.11.2017 11:00:00.000 GMT-0800,185.080,185.260,184.680,184.700,0.4398
08.11.2017 12:00:00.000 GMT-0800,184.700,184.740,184.350,184.530,0.7363
08.11.2017 13:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 14:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 15:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 16:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 17:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 18:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 19:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 20:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 21:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 22:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
08.11.2017 23:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
09.11.2017 00:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
09.11.2017 01:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
09.11.2017 02:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
09.11.2017 03:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
09.11.2017 04:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
09.11.2017 05:00:00.000 GMT-0800,184.530,184.530,184.530,184.530,0
09.11.2017 06:00:00.000 GMT-0800,183.440,184.100,182.770,182.910,0.2636
09.11.2017 07:00:00.000 GMT-0800,182.910,183.430,182.580,183.340,0.6211
09.11.2017 08:00:00.000 GMT-0800,183.340,183.390,182.080,182.500,0.7091
09.11.2017 09:00:00.000 GMT-0800,182.510,182.870,181.750,182.830,0.8603
09.11.2017 10:00:00.000 GMT-0800,182.830,183.470,182.550,183.340,0.7031
09.11.2017 11:00:00.000 GMT-0800,183.340,184.010,183.330,183.800,0.7078
09.11.2017 12:00:00.000 GMT-0800,183.790,184.660,183.630,184.450,1.0715
09.11.2017 13:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 14:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 15:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 16:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 17:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 18:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 19:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 20:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 21:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 22:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
09.11.2017 23:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
10.11.2017 00:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
10.11.2017 01:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
10.11.2017 02:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
10.11.2017 03:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
10.11.2017 04:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
10.11.2017 05:00:00.000 GMT-0800,184.450,184.450,184.450,184.450,0
10.11.2017 06:00:00.000 GMT-0800,183.300,183.940,182.660,182.660,0.284
10.11.2017 07:00:00.000 GMT-0800,182.660,183.100,182.500,182.750,0.4806
10.11.2017 08:00:00.000 GMT-0800,182.770,183.230,182.610,183.010,0.6278
10.11.2017 09:00:00.000 GMT-0800,183.010,183.430,182.940,183.310,0.4826
10.11.2017 10:00:00.000 GMT-0800,183.310,183.360,182.950,183.020,0.4592
10.11.2017 11:00:00.000 GMT-0800,183.020,183.860,183.020,183.830,0.5197
10.11.2017 12:00:00.000 GMT-0800,183.820,184.050,183.510,183.670,0.6912
10.11.2017 13:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 14:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 15:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 16:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 17:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 18:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 19:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 20:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 21:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 22:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
10.11.2017 23:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
11.11.2017 00:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
11.11.2017 01:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
11.11.2017 02:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
11.11.2017 03:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
11.11.2017 04:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
11.11.2017 05:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
11.11.2017 06:00:00.000 GMT-0800,183.670,183.670,183.670,183.670,0
