Local time,Open,High,Low,Close,Volume
06.11.2017 00:00:00.000 GMT-0800,22.437,22.437,22.437,22.437,0
06.11.2017 01:00:00.000 GMT-0800,22.437,22.437,22.437,22.437,0
06.11.2017 02:00:00.000 GMT-0800,22.437,22.437,22.437,22.437,0
06.11.2017 03:00:00.000 GMT-0800,22.437,22.437,22.437,22.437,0
06.11.2017 04:00:00.000 GMT-0800,22.437,22.437,22.437,22.437,0
06.11.2017 05:00:00.000 GMT-0800,22.437,22.437,22.437,22.437,0
06.11.2017 06:00:00.000 GMT-0800,22.477,22.608,22.447,22.587,11.061
06.11.2017 07:00:00.000 GMT-0800,22.588,22.768,22.527,22.728,20.2297
06.11.2017 08:00:00.000 GMT-0800,22.727,22.908,22.707,22.878,25.7613
06.11.2017 09:00:00.000 GMT-0800,22.877,22.988,22.877,22.898,22.7218
06.11.2017 10:00:00.000 GMT-0800,22.898,22.958,22.877,22.948,19.6663
06.11.2017 11:00:00.000 GMT-0800,22.948,22.968,22.897,22.917,28.3431
06.11.2017 12:00:00.000 GMT-0800,22.918,22.938,22.857,22.898,37.3373
06.11.2017 13:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 14:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 15:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 16:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 17:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 18:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 19:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 20:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 21:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 22:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
06.11.2017 23:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
07.11.2017 00:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
07.11.2017 01:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
07.11.2017 02:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
07.11.2017 03:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
07.11.2017 04:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
07.11.2017 05:00:00.000 GMT-0800,22.898,22.898,22.898,22.898,0
07.11.2017 06:00:00.000 GMT-0800,22.807,22.848,22.727,22.807,13.3716
07.11.2017 07:00:00.000 GMT-0800,22.808,22.818,22.597,22.777,27.2103
07.11.2017 08:00:00.000 GMT-0800,22.778,22.778,22.657,22.687,17.2801
07.11.2017 09:00:00.000 GMT-0800,22.688,22.758,22.667,22.728,14.2376
07.11.2017 10:00:00.000 GMT-0800,22.728,22.728,22.677,22.678,10.2961
07.11.2017 11:00:00.000 GMT-0800,22.678,22.748,22.667,22.737,10.9538
07.11.2017 12:00:00.000 GMT-0800,22.738,22.758,22.707,22.738,17.1067
07.11.2017 13:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 14:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 15:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 16:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 17:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 18:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 19:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 20:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 21:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 22:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
07.11.2017 23:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
08.11.2017 00:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
08.11.2017 01:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
08.11.2017 02:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
08.11.2017 03:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
08.11.2017 04:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
08.11.2017 05:00:00.000 GMT-0800,22.738,22.738,22.738,22.738,0
08.11.2017 06:00:00.000 GMT-0800,22.968,23.008,22.887,22.968,13.176
08.11.2017 07:00:00.000 GMT-0800,22.967,22.988,22.897,22.908,23.3251
08.11.2017 08:00:00.000 GMT-0800,22.908,23.018,22.907,22.938,19.9341
08.11.2017 09:00:00.000 GMT-0800,22.937,22.978,22.907,22.908,17.0619
08.11.2017 10:00:00.000 GMT-0800,22.907,22.908,22.817,22.887,16.5323
08.11.2017 11:00:00.000 GMT-0800,22.888,22.888,22.857,22.877,13.9644
08.11.2017 12:00:00.000 GMT-0800,22.878,22.898,22.857,22.888,27.0215
08.11.2017 13:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 14:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 15:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 16:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 17:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 18:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 19:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 20:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 21:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 22:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
08.11.2017 23:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
09.11.2017 00:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
09.11.2017 01:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
09.11.2017 02:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
09.11.2017 03:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
09.11.2017 04:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
09.11.2017 05:00:00.000 GMT-0800,22.888,22.888,22.888,22.888,0
09.11.2017 06:00:00.000 GMT-0800,22.902,22.948,22.817,22.848,16.4887
09.11.2017 07:00:00.000 GMT-0800,22.847,22.948,22.788,22.798,28.2323
09.11.2017 08:00:00.000 GMT-0800,22.797,22.908,22.787,22.868,25.9982
