Local time,Open,High,Low,Close,Volume
06.11.2017 00:00:00.000 GMT-0800,258.437,258.437,258.437,258.437,0
06.11.2017 01:00:00.000 GMT-0800,258.437,258.437,258.437,258.437,0
06.11.2017 02:00:00.000 GMT-0800,258.437,258.437,258.437,258.437,0
06.11.2017 03:00:00.000 GMT-0800,258.437,258.437,258.437,258.437,0
06.11.2017 04:00:00.000 GMT-0800,258.437,258.437,258.437,258.437,0
06.11.2017 05:00:00.000 GMT-0800,258.437,258.437,258.437,258.437,0
06.11.2017 06:00:00.000 GMT-0800,258.288,258.578,258.217,258.577,10.5677
06.11.2017 07:00:00.000 GMT-0800,258.578,258.768,258.437,258.608,16.7493
06.11.2017 08:00:00.000 GMT-0800,258.607,258.788,258.508,258.557,14.3299
06.11.2017 09:00:00.000 GMT-0800,258.558,258.818,258.527,258.778,11.2112
06.11.2017 10:00:00.000 GMT-0800,258.777,258.878,258.728,258.828,11.272
06.11.2017 11:00:00.000 GMT-0800,258.827,258.928,258.747,258.928,11.035
06.11.2017 12:00:00.000 GMT-0800,258.927,258.988,258.778,258.817,15.6243
06.11.2017 13:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 14:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 15:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 16:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 17:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 18:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 19:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 20:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 21:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 22:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
06.11.2017 23:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
07.11.2017 00:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
07.11.2017 01:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
07.11.2017 02:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
07.11.2017 03:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
07.11.2017 04:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
07.11.2017 05:00:00.000 GMT-0800,258.817,258.817,258.817,258.817,0
07.11.2017 06:00:00.000 GMT-0800,258.977,259.347,258.897,259.198,11.8409
07.11.2017 07:00:00.000 GMT-0800,259.198,259.268,258.548,258.728,23.4723
07.11.2017 08:00:00.000 GMT-0800,258.738,258.928,258.198,258.258,19.6129
07.11.2017 09:00:00.000 GMT-0800,258.257,258.508,258.087,258.418,18.9533
07.11.2017 10:00:00.000 GMT-0800,258.408,258.648,258.397,258.478,13.5611
07.11.2017 11:00:00.000 GMT-0800,258.477,258.558,258.297,258.328,14.2119
07.11.2017 12:00:00.000 GMT-0800,258.328,258.688,258.218,258.677,19.6128
07.11.2017 13:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 14:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 15:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 16:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 17:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 18:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 19:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 20:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 21:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 22:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
07.11.2017 23:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
08.11.2017 00:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
08.11.2017 01:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
08.11.2017 02:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
08.11.2017 03:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
08.11.2017 04:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
08.11.2017 05:00:00.000 GMT-0800,258.677,258.677,258.677,258.677,0
08.11.2017 06:00:00.000 GMT-0800,258.427,258.568,258.147,258.248,15.0408
08.11.2017 07:00:00.000 GMT-0800,258.248,258.577,258.227,258.518,18.1557
08.11.2017 08:00:00.000 GMT-0800,258.517,258.668,258.398,258.567,16.3669
08.11.2017 09:00:00.000 GMT-0800,258.568,258.928,258.547,258.887,13.2293
08.11.2017 10:00:00.000 GMT-0800,258.888,259.068,258.887,258.997,13.337
08.11.2017 11:00:00.000 GMT-0800,258.998,259.128,258.898,259.048,13.1778
08.11.2017 12:00:00.000 GMT-0800,259.047,259.208,258.877,259.108,16.2808
08.11.2017 13:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 14:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 15:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 16:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 17:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 18:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 19:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 20:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 21:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 22:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
08.11.2017 23:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
09.11.2017 00:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
09.11.2017 01:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
09.11.2017 02:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
09.11.2017 03:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
09.11.2017 04:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
09.11.2017 05:00:00.000 GMT-0800,259.108,259.108,259.108,259.108,0
09.11.2017 06:00:00.000 GMT-0800,257.707,258.068,257.428,257.747,20.6806
09.11.2017 07:00:00.000 GMT-0800,257.748,258.378,257.747,258.358,28.3004
09.11.2017 08:00:00.000 GMT-0800,258.348,258.368,257.047,257.347,30.6762
09.11.2017 09:00:00.000 GMT-0800,257.348,257.348,256.357,257.028,40.6886
09.11.2017 10:00:00.000 GMT-0800,257.027,257.638,256.767,257.538,27.1997
09.11.2017 11:00:00.000 GMT-0800,257.538,257.878,257.517,257.648,21.4025
09.11.2017 12:00:00.000 GMT-0800,257.648,258.368,257.577,258.178,24.6559
09.11.2017 13:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 14:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 15:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 16:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 17:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 18:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 19:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 20:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 21:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 22:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
09.11.2017 23:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 00:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 01:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 02:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 03:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 04:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 05:00:00.000 GMT-0800,258.178,258.178,258.178,258.178,0
10.11.2017 06:00:00.000 GMT-0800,257.717,257.948,257.567,257.708,16.7412
10.11.2017 07:00:00.000 GMT-0800,257.708,257.918,257.357,257.728,27.9132
10.11.2017 08:00:00.000 GMT-0800,257.747,257.847,257.497,257.827,20.8481
10.11.2017 09:00:00.000 GMT-0800,257.828,257.967,257.677,257.698,15.2458
10.11.2017 10:00:00.000 GMT-0800,257.697,257.908,257.627,257.818,13.9955
10.11.2017 11:00:00.000 GMT-0800,257.818,258.178,257.818,258.148,15.65
10.11.2017 12:00:00.000 GMT-0800,258.138,258.198,258.007,258.067,17.1801
10.11.2017 13:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 14:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 15:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 16:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 17:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 18:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 19:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 20:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 21:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 22:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
10.11.2017 23:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 00:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 01:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 02:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 03:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 04:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 05:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 06:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 07:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 08:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 09:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 10:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 11:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 12:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 13:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 14:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 15:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 16:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 17:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 18:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 19:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 20:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 21:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 22:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
11.11.2017 23:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 00:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 01:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 02:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 03:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 04:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 05:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 06:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 07:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 08:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 09:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 10:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 11:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 12:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 13:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 14:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 15:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 16:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 17:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 18:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 19:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 20:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 21:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 22:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
12.11.2017 23:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 00:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 01:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 02:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 03:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 04:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 05:00:00.000 GMT-0800,258.067,258.067,258.067,258.067,0
13.11.2017 06:00:00.000 GMT-0800,257.287,257.838,257.257,257.818,13.0769
13.11.2017 07:00:00.000 GMT-0800,257.807,258.238,257.807,258.057,23.1685
13.11.2017 08:00:00.000 GMT-0800,258.058,258.298,257.987,258.267,18.5855
