STATION,DATE,TMAX,TMIN,TDIF,RAIN?,WT01,WT02,WT03,WT04,WT05,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT22
USW00024233,1/1/2011,40,26,14,0,,,,,,,,,,,,,,,
USW00024233,1/2/2011,39,25,14,0,,,,,,,,,,,,,,,
USW00024233,1/3/2011,42,27,15,0,,,,,,,,,,,,,,,
USW00024233,1/4/2011,38,28,10,4,1,,,,,1,,,1,,1,,,,
USW00024233,1/5/2011,45,35,10,3,1,,,,,,,,1,,1,,,,
USW00024233,1/6/2011,49,44,5,3,1,,,,,,,,1,,1,,,,
USW00024233,1/7/2011,48,37,11,3,1,,,,,,,,1,,1,,,,
USW00024233,1/8/2011,40,34,6,2,1,,,,,,,,,,1,,,,
USW00024233,1/9/2011,39,31,8,5,1,,,,,,,,1,,1,,1,1,
USW00024233,1/10/2011,38,30,8,1,,,,,,,,,,,,,1,,
USW00024233,1/11/2011,39,30,9,4,1,,,,,,,,1,,,,1,,1
USW00024233,1/12/2011,47,33,14,5,1,,,,,,,,1,,1,1,1,,
USW00024233,1/13/2011,53,43,10,3,1,,,,,,,,1,,1,,,,
USW00024233,1/14/2011,54,49,5,3,1,,,,,,,,1,,1,,,,
USW00024233,1/15/2011,52,47,5,3,1,,,,,,,,1,,1,,,,
USW00024233,1/16/2011,55,50,5,3,1,,,,,,,,1,,1,,,,
USW00024233,1/17/2011,50,42,8,4,1,,,,,,,,1,1,1,,,,
USW00024233,1/18/2011,42,37,5,3,1,,,,,,,,1,,1,,,,
USW00024233,1/19/2011,45,35,10,0,,,,,,,,,,,,,,,
USW00024233,1/20/2011,44,33,11,3,1,,,,,,,,1,,1,,,,
USW00024233,1/21/2011,49,44,5,3,1,,,,,,,,1,,1,,,,
USW00024233,1/22/2011,49,40,9,4,1,,,,,,,,1,1,1,,,,
USW00024233,1/23/2011,46,41,5,4,1,,,,,,,,1,1,1,,,,
USW00024233,1/24/2011,48,44,4,4,1,1,,,,,,,1,,1,,,,
USW00024233,1/25/2011,50,43,7,1,1,,,,,,,,,,,,,,
USW00024233,1/26/2011,54,39,15,3,1,1,,,,,,,1,,,,,,
USW00024233,1/27/2011,50,37,13,3,1,1,,,,,,,1,,,,,,
USW00024233,1/28/2011,52,39,13,3,1,,,,,,,,1,,1,,,,
USW00024233,1/29/2011,48,43,5,4,1,,,,,,,,1,1,1,,,,
USW00024233,1/30/2011,44,37,7,3,1,,,,,,,,1,,1,,,,
USW00024233,1/31/2011,44,34,10,0,,,,,,,,,,,,,,,
USW00024233,2/1/2011,46,32,14,0,,,,,,,,,,,,,,,
USW00024233,2/2/2011,51,29,22,0,,,,,,,,,,,,,,,
USW00024233,2/3/2011,49,39,10,1,,,,,,,,,,,1,,,,
USW00024233,2/4/2011,50,45,5,4,1,,,,,,,,1,1,1,,,,
USW00024233,2/5/2011,47,43,4,4,1,,,,,,,,1,1,1,,,,
USW00024233,2/6/2011,50,43,7,4,1,,,,,,,,1,1,1,,,,
USW00024233,2/7/2011,48,39,9,3,1,,,,,,,,,1,1,,,,
USW00024233,2/8/2011,46,35,11,1,,,,,,,,,,,1,,,,
USW00024233,2/9/2011,45,28,17,0,,,,,,,,,,,,,,,
USW00024233,2/10/2011,47,29,18,0,,,,,,,,,,,,,,,
USW00024233,2/11/2011,47,35,12,0,,,,,,,,,,,,,,,
USW00024233,2/12/2011,54,40,14,3,1,,,,,,,,1,,1,,,,
USW00024233,2/13/2011,52,41,11,3,1,,,,,,,,1,,1,,,,
USW00024233,2/14/2011,50,40,10,3,1,,,,,,,,1,,1,,,,
USW00024233,2/15/2011,46,37,9,1,,,,,,,,,,,1,,,,
USW00024233,2/16/2011,44,34,10,3,1,,,,,,,,,,1,,1,,
USW00024233,2/17/2011,44,34,10,4,1,,,,,,,,1,,1,,1,,
USW00024233,2/18/2011,49,32,17,1,,,,,,1,,,,,,,,,
USW00024233,2/19/2011,43,32,11,0,,,,,,,,,,,,,,,
USW00024233,2/20/2011,45,27,18,0,,,,,,,,,,,,,,,
USW00024233,2/21/2011,45,34,11,2,1,,,,,,,,,,1,,,,
USW00024233,2/22/2011,44,32,12,4,1,,,,,,,,1,,1,,1,,
USW00024233,2/23/2011,37,27,10,5,1,1,,,,,,,1,,1,,1,,
USW00024233,2/24/2011,35,24,11,4,1,,,,,1,,,1,,,,1,,
USW00024233,2/25/2011,31,20,11,0,,,,,,,,,,,,,,,
USW00024233,2/26/2011,34,19,15,2,1,,,,,,,,,,,,1,,
USW00024233,2/27/2011,42,33,9,5,1,,,,,,,,1,1,1,,1,,
USW00024233,2/28/2011,40,34,6,5,1,,,,,,,,1,1,1,,1,,
USW00024233,3/1/2011,44,34,10,3,1,,,,,,,,1,,1,,,,
USW00024233,3/2/2011,50,36,14,3,1,,,,,,,,1,,1,,,,
USW00024233,3/3/2011,48,36,12,3,1,,,,,,,,1,,1,,,,
USW00024233,3/4/2011,49,33,16,3,1,,,,,,,,1,,1,,,,
USW00024233,3/5/2011,50,38,12,1,,,,,,,,,,,1,,,,
USW00024233,3/6/2011,47,34,13,0,,,,,,,,,,,,,,,
USW00024233,3/7/2011,48,36,12,1,,,,,,,,,,,1,,,,
USW00024233,3/8/2011,52,38,14,3,1,,,,,,,,1,,1,,,,
USW00024233,3/9/2011,52,42,10,3,1,,,,,,,,1,,1,,,,
USW00024233,3/10/2011,53,39,14,3,1,,,,,,,,1,,1,,,,
USW00024233,3/11/2011,53,38,15,1,,,,,,,,,,,1,,,,
USW00024233,3/12/2011,48,42,6,3,1,,,,,,,,1,,1,,,,
USW00024233,3/13/2011,53,43,10,2,1,,,,,,,,,,1,,,,
USW00024233,3/14/2011,53,44,9,4,1,,,,,1,,,1,,1,,,,
USW00024233,3/15/2011,55,42,13,4,1,,,,,,,1,1,,1,,,,
USW00024233,3/16/2011,48,38,10,3,1,,,,,1,,,,,1,,,,
USW00024233,3/17/2011,51,37,14,1,,,,,,,,,,,1,,,,
USW00024233,3/18/2011,50,38,12,3,1,,,,,,,,1,,1,,,,
USW00024233,3/19/2011,54,36,18,0,,,,,,,,,,,,,,,
USW00024233,3/20/2011,50,37,13,1,,,,,,,,,,,1,,,,
USW00024233,3/21/2011,50,40,10,1,,,,,,,,,,,1,,,,
USW00024233,3/22/2011,51,37,14,1,,,,,,,,,,,1,,,,
USW00024233,3/23/2011,62,34,28,0,,,,,,,,,,,,,,,
